Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Duration_UAE,Q5_Employment,Q6_Income_AED,Q7_Education,Q8_Insurance,Q9_Visit_Frequency,Q11_Preferred_Language,Q14_Prior_Telemedicine,Q18_Consultation_Mode,Q19_Willingness_to_Pay,Q20_Pricing_Model,Q25_Interest,Q1_Age_Group_Encoded,Q4_Duration_UAE_Encoded,Q6_Income_AED_Encoded,Q7_Education_Encoded,Q9_Visit_Frequency_Encoded,Q14_Prior_Telemedicine_Encoded,Q19_Willingness_to_Pay_Encoded,Q25_Interest_Encoded,Q12_Satisfaction,Q15_Digital_Comfort,Q17_Language_Importance,Q23_Recommend_Likelihood,Q13_Monthly_Spend_AED,Q13_Spend_Log,Q13_Outlier_Flag,Q25_Binary,Q10_Difficulty_finding_specialists,Q10_Difficulty_with_medical_records,Q10_Difficulty_with_prescriptions,Q10_High_out-of-pocket_costs,Q10_Inconvenient_locations_hours,Q10_Lack_of_insurance_knowledge,Q10_Lack_of_trust_with_providers,Q10_Language_barriers,Q10_Limited_mental_health_services,Q10_Long_waiting_times,Q10_No_challenges,Q16_AI_symptom_checker_triage,Q16_Doctor_clinic_reviews_and_ratings,Q16_E-prescriptions_and_medication_delivery,Q16_Emergency_helpline_and_hospital_locator,Q16_Health_record_management,Q16_Health_tips_for_expat_lifestyle,Q16_Insurance_compatibility_checker,Q16_Lab_test_booking_and_home_collection,Q16_Mental_health_and_counseling,Q16_Specialist_referrals_and_booking,Q16_Virtual_consultations_in_preferred_language,Q21_Data_privacy_security,Q21_Insurance_coverage_uncertainty,Q21_Lack_of_physical_examination,Q21_No_concerns,Q21_Prefer_in-person_only,Q21_Quality_of_virtual_diagnosis,Q21_Technology_issues,Q22_Data_encryption_privacy,Q22_Friend_employer_recommendation,Q22_Hospital_affiliation,Q22_Licensed_verified_doctors,Q22_Positive_user_reviews,Q11_Preferred_Language_Arabic,Q11_Preferred_Language_English,Q11_Preferred_Language_Hindi/Urdu,Q11_Preferred_Language_Malayalam,Q11_Preferred_Language_Other,Q11_Preferred_Language_Tagalog/Filipino,Q18_Consultation_Mode_No preference,Q18_Consultation_Mode_Text-based chat,Q18_Consultation_Mode_Video call,Q18_Consultation_Mode_Voice call,Q20_Pricing_Model_Flat subscription,Q20_Pricing_Model_Free with ads,Q20_Pricing_Model_Freemium,Q20_Pricing_Model_Pay-per-consultation,Q2_Gender_Female,Q2_Gender_Male,Q2_Gender_Prefer not to say,Q3_Nationality_African,Q3_Nationality_Arab (non-UAE),Q3_Nationality_Other,Q3_Nationality_South Asian,Q3_Nationality_Southeast Asian,Q3_Nationality_Western,Q5_Employment_Dependent/Homemaker,Q5_Employment_Employed full-time,Q5_Employment_Employed part-time,Q5_Employment_Self-employed/Freelancer,Q5_Employment_Student,Q5_Employment_Unemployed/Job seeker,Q8_Insurance_No - uninsured,Q8_Insurance_Yes - employer provided,Q8_Insurance_Yes - purchased individually,Q24_Open_Response
R0466,25-34,Male,South Asian,<1 year,Employed full-time,"10,001-20,000",Diploma/Vocational,Yes - employer provided,Rarely (0-1),Malayalam,"No, but aware",Voice call,AED 61-100,Flat subscription,No,2,1,3,2,1,2,4,0,2,5,3,2,60,4.110873864173311,Normal,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,
R0467,25-34,Male,South Asian,3-5 years,Employed full-time,"10,001-20,000",Diploma/Vocational,Yes - employer provided,Occasionally (2-4),Hindi/Urdu,"Yes, regularly",Voice call,Up to AED 30,Freemium,Maybe,2,3,3,2,2,4,2,1,3,4,4,2,10000,9.210440366976517,Capped,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Second opinion feature
R0468,45-54,Male,South Asian,<1 year,Employed part-time,"5,000-10,000",Diploma/Vocational,No - uninsured,Rarely (0-1),Other,"No, but aware",Video call,Free only,Pay-per-consultation,Yes,4,1,2,2,1,2,1,2,1,4,5,2,4380,8.385032287813898,High_spender,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,
R0469,25-34,Male,African,10+ years,Employed full-time,"35,001-50,000",Bachelor's degree,Yes - employer provided,Regularly (5-8),English,"Yes, regularly",No preference,AED 31-60,Flat subscription,No,2,5,5,3,3,4,3,0,1,4,3,2,1990,7.596392304064196,Normal,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,
R0470,55+,Male,Western,5-10 years,Employed full-time,"20,001-35,000",Bachelor's degree,Yes - employer provided,Rarely (0-1),English,"No, but aware",No preference,AED 61-100,Pay-per-consultation,Maybe,5,4,4,3,1,2,4,1,3,3,4,2,340,5.831882477283517,Normal,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Pharmacy price comparison tool
R0471,18-24,Male,African,5-10 years,Employed full-time,"20,001-35,000",Bachelor's degree,No - uninsured,Occasionally (2-4),English,"No, but aware",Video call,AED 31-60,Pay-per-consultation,Maybe,1,4,4,3,2,2,3,1,5,4,4,4,1050,6.957497370876951,Normal,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,
R0472,55+,Female,Other,5-10 years,Employed full-time,"35,001-50,000",Bachelor's degree,No - uninsured,Occasionally (2-4),English,"No, but aware",Voice call,AED 61-100,Pay-per-consultation,No,5,4,5,3,2,2,4,0,2,2,3,2,2140,7.669028288589683,Normal,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,
R0473,18-24,Female,South Asian,5-10 years,Employed full-time,"35,001-50,000",Diploma/Vocational,Yes - employer provided,Rarely (0-1),English,"No, but aware",Voice call,AED 61-100,Free with ads,Yes,1,4,5,2,1,2,4,2,3,4,4,3,410,6.018593214496234,Normal,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Home nursing service booking
R0474,45-54,Female,South Asian,10+ years,Employed full-time,"5,000-10,000",Bachelor's degree,No - uninsured,Occasionally (2-4),Hindi/Urdu,"Yes, once or twice",Video call,Free only,Freemium,Maybe,4,5,2,3,2,3,1,1,2,3,3,3,530,6.274762021241939,Normal,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Pediatric specialist access
R0475,35-44,Male,Arab (non-UAE),5-10 years,Student,"10,001-20,000",Bachelor's degree,Yes - purchased individually,Regularly (5-8),English,"No, but aware",Voice call,AED 31-60,Freemium,No,3,4,3,3,3,2,3,0,3,4,3,4,870,6.769641976852503,Normal,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,
R0476,55+,Female,Southeast Asian,10+ years,Self-employed/Freelancer,"10,001-20,000",Bachelor's degree,Yes - purchased individually,Rarely (0-1),English,"Yes, regularly",Video call,Up to AED 30,Pay-per-consultation,No,5,5,3,3,1,4,2,0,4,2,3,4,440,6.089044875446846,Normal,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,
R0477,18-24,Male,South Asian,3-5 years,Employed full-time,"10,001-20,000",Diploma/Vocational,No - uninsured,Rarely (0-1),Hindi/Urdu,"No, never heard",Video call,More than AED 150,Free with ads,Yes,1,3,3,2,1,1,6,2,2,4,3,2,390,5.968707559985366,Normal,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Family package plans
R0478,35-44,Female,South Asian,<1 year,Self-employed/Freelancer,"Below 5,000",Bachelor's degree,No - uninsured,Occasionally (2-4),Hindi/Urdu,"Yes, regularly",No preference,Free only,Pay-per-consultation,Yes,3,1,1,3,2,4,1,2,3,5,5,4,440,6.089044875446846,Normal,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Multilingual mental health counselors
R0479,55+,Male,Southeast Asian,3-5 years,Self-employed/Freelancer,"20,001-35,000",Diploma/Vocational,Yes - purchased individually,Occasionally (2-4),Tagalog/Filipino,"Yes, once or twice",Voice call,Free only,Freemium,No,5,3,4,2,2,3,1,0,3,3,5,3,1200,7.0909098220799835,Normal,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,
R0480,35-44,Female,Southeast Asian,1-3 years,Dependent/Homemaker,"10,001-20,000",High school or below,Yes - employer provided,Occasionally (2-4),Tagalog/Filipino,"No, but aware",Video call,AED 31-60,Flat subscription,No,3,2,3,1,2,2,3,0,3,4,4,4,330,5.802118375377063,Normal,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,
R0481,35-44,Male,South Asian,5-10 years,Employed full-time,"10,001-20,000",Master's degree or above,Yes - employer provided,Occasionally (2-4),English,"No, but aware",Text-based chat,Free only,Pay-per-consultation,Yes,3,4,3,4,2,2,1,2,4,5,5,4,400,5.993961427306569,Normal,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Pregnancy and maternity tracking
R0482,35-44,Female,Southeast Asian,3-5 years,Employed full-time,"20,001-35,000",Master's degree or above,Yes - employer provided,Regularly (5-8),Tagalog/Filipino,"No, but aware",No preference,AED 101-150,Pay-per-consultation,No,3,3,4,4,3,2,5,0,3,5,4,3,1370,7.223295679562314,Normal,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Pharmacy price comparison tool
R0483,35-44,Female,Southeast Asian,5-10 years,Dependent/Homemaker,"20,001-35,000",Diploma/Vocational,Yes - employer provided,Rarely (0-1),Tagalog/Filipino,"No, never heard",Video call,AED 101-150,Freemium,Maybe,3,4,4,2,1,1,5,1,3,4,4,3,410,6.018593214496234,Normal,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Nutrition and diet planning
R0484,35-44,Male,Southeast Asian,<1 year,Dependent/Homemaker,"5,000-10,000",High school or below,Yes - employer provided,Occasionally (2-4),Tagalog/Filipino,"Yes, once or twice",Text-based chat,Up to AED 30,Freemium,Yes,3,1,2,1,2,3,2,2,3,4,4,4,190,5.25227342804663,Normal,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Family package plans
R0485,35-44,Male,South Asian,1-3 years,Self-employed/Freelancer,"Below 5,000",Bachelor's degree,Yes - employer provided,Occasionally (2-4),English,"No, but aware",No preference,AED 31-60,Pay-per-consultation,Yes,3,2,1,3,2,2,3,2,3,3,4,3,60,4.110873864173311,Normal,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,Integration with DHA medical records
R0486,45-54,Prefer not to say,Arab (non-UAE),3-5 years,Unemployed/Job seeker,"20,001-35,000",Diploma/Vocational,No - uninsured,Occasionally (2-4),Arabic,"Yes, regularly",No preference,AED 61-100,Flat subscription,No,4,3,4,2,2,4,4,0,3,3,4,3,1390,7.237778191923443,Normal,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Pediatric specialist access
R0487,18-24,Male,South Asian,10+ years,Employed full-time,"Below 5,000",Bachelor's degree,Yes - employer provided,Frequently (9+),English,"No, but aware",Text-based chat,Free only,Flat subscription,Maybe,1,5,1,3,4,2,1,1,3,3,3,4,130,4.875197323201151,Normal,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,
R0488,25-34,Female,South Asian,3-5 years,Employed full-time,"Above 50,000",High school or below,Yes - purchased individually,Occasionally (2-4),English,"No, but aware",No preference,More than AED 150,Free with ads,No,2,3,6,1,2,2,6,0,4,3,3,2,1650,7.409136443920128,Normal,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,
R0489,55+,Male,Western,3-5 years,Employed full-time,"20,001-35,000",Diploma/Vocational,Yes - employer provided,Frequently (9+),English,"Yes, once or twice",Video call,AED 101-150,Freemium,Yes,5,3,4,2,4,3,5,2,2,3,4,2,1950,7.576097340623111,Normal,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Home nursing service booking
R0490,45-54,Male,Southeast Asian,5-10 years,Employed full-time,"10,001-20,000",Master's degree or above,Yes - employer provided,Occasionally (2-4),Tagalog/Filipino,"Yes, once or twice",Video call,Up to AED 30,Freemium,Maybe,4,4,3,4,2,3,2,1,4,4,5,4,230,5.442417710521793,Normal,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Integration with DHA medical records
R0491,25-34,Male,South Asian,5-10 years,Student,"Below 5,000",Master's degree or above,No - uninsured,Rarely (0-1),Hindi/Urdu,"No, never heard",Video call,AED 31-60,Freemium,Maybe,2,4,1,4,1,1,3,1,1,3,5,2,410,6.018593214496234,Normal,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
R0492,35-44,Male,Arab (non-UAE),1-3 years,Employed full-time,"Below 5,000",Diploma/Vocational,Yes - employer provided,Rarely (0-1),Arabic,"No, never heard",Video call,AED 31-60,Free with ads,No,3,2,1,2,1,1,3,0,4,3,5,3,60,4.110873864173311,Normal,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Pediatric specialist access
R0493,25-34,Female,Southeast Asian,3-5 years,Employed full-time,"10,001-20,000",Bachelor's degree,Yes - employer provided,Occasionally (2-4),Tagalog/Filipino,"Yes, regularly",Video call,AED 61-100,Pay-per-consultation,Maybe,2,3,3,3,2,4,4,1,3,3,4,4,290,5.673323267171493,Normal,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Family package plans
R0494,25-34,Male,Western,1-3 years,Dependent/Homemaker,"5,000-10,000",Diploma/Vocational,Yes - employer provided,Occasionally (2-4),Other,"No, but aware",Text-based chat,Free only,Freemium,Yes,2,2,2,2,2,2,1,2,3,4,5,3,160,5.081404364984463,Normal,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Home nursing service booking
R0495,35-44,Male,Arab (non-UAE),10+ years,Employed full-time,"20,001-35,000",High school or below,Yes - employer provided,Occasionally (2-4),Arabic,"No, never heard",No preference,Up to AED 30,Pay-per-consultation,Maybe,3,5,4,1,2,1,2,1,3,4,4,3,290,5.673323267171493,Normal,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Pediatric specialist access
R0496,25-34,Male,Arab (non-UAE),1-3 years,Dependent/Homemaker,"5,000-10,000",Master's degree or above,Yes - employer provided,Occasionally (2-4),Arabic,"No, but aware",Video call,More than AED 150,Pay-per-consultation,Maybe,2,2,2,4,2,2,6,1,3,5,3,5,120,4.795790545596741,Normal,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Multilingual mental health counselors
R0497,35-44,Male,Southeast Asian,3-5 years,Dependent/Homemaker,"10,001-20,000",Bachelor's degree,No - uninsured,Occasionally (2-4),Tagalog/Filipino,"No, never heard",No preference,AED 31-60,Freemium,Maybe,3,3,3,3,2,1,3,1,3,4,5,3,1100,7.00397413672268,Normal,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Family package plans
R0498,18-24,Female,South Asian,<1 year,Employed part-time,"10,001-20,000",Bachelor's degree,Yes - purchased individually,Rarely (0-1),Hindi/Urdu,"Yes, once or twice",Voice call,AED 31-60,Freemium,Yes,1,1,3,3,1,3,3,2,3,4,3,2,170,5.14166355650266,Normal,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,
R0499,55+,Prefer not to say,South Asian,1-3 years,Employed full-time,"10,001-20,000",Master's degree or above,Yes - employer provided,Rarely (0-1),Hindi/Urdu,"Yes, once or twice",Video call,AED 101-150,Free with ads,Yes,5,2,3,4,1,3,5,2,4,3,4,4,420,6.042632833682381,Normal,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Nutrition and diet planning
R0500,55+,Male,South Asian,5-10 years,Employed full-time,"Below 5,000",Master's degree or above,Yes - employer provided,Regularly (5-8),Hindi/Urdu,"No, but aware",Text-based chat,Free only,Freemium,Yes,5,4,1,4,3,2,1,2,4,4,5,4,450,6.111467339502679,Normal,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,
R0501,35-44,Female,Southeast Asian,1-3 years,Employed full-time,"Below 5,000",Master's degree or above,Yes - employer provided,Occasionally (2-4),Tagalog/Filipino,"No, but aware",Voice call,Free only,Flat subscription,Maybe,3,2,1,4,2,2,1,1,3,4,3,3,70,4.2626798770413155,Normal,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,
R0502,35-44,Female,Southeast Asian,<1 year,Employed full-time,"Below 5,000",High school or below,No - uninsured,Regularly (5-8),English,"No, never heard",Video call,Up to AED 30,Freemium,Yes,3,1,1,1,3,1,2,2,3,4,3,3,720,6.580639137284949,Normal,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
R0503,25-34,Male,South Asian,3-5 years,Employed full-time,"20,001-35,000",Diploma/Vocational,Yes - employer provided,Occasionally (2-4),Malayalam,"Yes, once or twice",No preference,Free only,Flat subscription,Maybe,2,3,4,2,2,3,1,1,5,3,3,5,480,6.175867270105761,Normal,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Multilingual mental health counselors
R0504,45-54,Female,South Asian,<1 year,Dependent/Homemaker,"10,001-20,000",Bachelor's degree,Yes - employer provided,Occasionally (2-4),English,"Yes, once or twice",Voice call,AED 31-60,Freemium,Yes,4,1,3,3,2,3,3,2,3,4,4,3,470,6.154858094016418,Normal,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Expat community health forums
R0505,35-44,Male,Southeast Asian,<1 year,Employed full-time,"35,001-50,000",Bachelor's degree,Yes - employer provided,Rarely (0-1),English,"No, never heard",Text-based chat,More than AED 150,Pay-per-consultation,No,3,1,5,3,1,1,6,0,3,4,3,3,650,6.478509642208569,Normal,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,
R0506,25-34,Male,South Asian,5-10 years,Self-employed/Freelancer,"10,001-20,000",Master's degree or above,Yes - purchased individually,Occasionally (2-4),Hindi/Urdu,"No, but aware",No preference,Free only,Freemium,No,2,4,3,4,2,2,1,0,4,4,3,4,530,6.274762021241939,Normal,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,Multilingual mental health counselors
R0507,45-54,Female,Arab (non-UAE),5-10 years,Employed full-time,"10,001-20,000",Bachelor's degree,No - uninsured,Occasionally (2-4),Arabic,"No, but aware",No preference,AED 61-100,Free with ads,No,4,4,3,3,2,2,4,0,2,3,4,3,890,6.792344427470809,Normal,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,
R0508,45-54,Male,South Asian,10+ years,Employed part-time,"10,001-20,000",Master's degree or above,Yes - purchased individually,Occasionally (2-4),English,"Yes, once or twice",Voice call,More than AED 150,Freemium,Yes,4,5,3,4,2,3,6,2,3,4,3,3,560,6.329720905522696,Normal,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,
R0509,55+,Female,Southeast Asian,10+ years,Dependent/Homemaker,"20,001-35,000",Diploma/Vocational,No - uninsured,Rarely (0-1),Tagalog/Filipino,"Yes, once or twice",Video call,More than AED 150,Freemium,Yes,5,5,4,2,1,3,6,2,2,2,5,3,710,6.566672429803241,Normal,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,Pharmacy price comparison tool
